detection,pixels,snapshot,time
62,834,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_62.png,1775528436.93
63,876,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_63.png,1775528437.13
64,921,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_64.png,1775528437.32
65,967,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_65.png,1775528437.52
66,956,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_66.png,1775528437.73
67,887,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_67.png,1775528437.93
68,866,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_68.png,1775528438.13
69,867,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_69.png,1775528438.33
70,878,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_70.png,1775528438.53
71,879,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_71.png,1775528438.73
72,926,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_72.png,1775528438.93
73,902,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_73.png,1775528439.13
74,888,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_74.png,1775528439.33
75,1083,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_75.png,1775528439.53
76,4338,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_76.png,1775528439.73
77,2812,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_77.png,1775528439.93
78,2955,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_78.png,1775528440.13
79,3205,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_79.png,1775528440.33
80,3199,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_80.png,1775528440.53
81,5939,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_81.png,1775528440.73
82,6285,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_82.png,1775528440.93
83,9235,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_83.png,1775528441.13
84,6683,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_84.png,1775528441.33
85,4740,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_85.png,1775528441.53
86,5093,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_86.png,1775528441.73
87,5849,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_87.png,1775528441.93
88,6496,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_88.png,1775528442.13
89,5196,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_89.png,1775528442.33
90,7000,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_90.png,1775528442.53
91,5376,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_91.png,1775528442.73
92,4743,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_92.png,1775528442.93
93,5429,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_93.png,1775528443.12
94,7029,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_94.png,1775528443.33
95,7428,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_95.png,1775528443.53
96,7732,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_96.png,1775528443.72
97,4613,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_97.png,1775528443.96
98,2474,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_98.png,1775528444.13
99,2675,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_99.png,1775528444.33
100,2956,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_100.png,1775528444.53
101,3680,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_101.png,1775528444.73
102,3976,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_102.png,1775528444.93
103,4288,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_103.png,1775528445.13
104,3918,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_104.png,1775528445.33
105,3685,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_105.png,1775528445.53
106,3493,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_106.png,1775528445.73
107,3948,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_107.png,1775528445.93
108,3664,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_108.png,1775528446.55
109,3655,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_109.png,1775528446.59
110,3507,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_110.png,1775528446.63
111,3550,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_111.png,1775528446.73
112,3507,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_112.png,1775528446.94
113,3121,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_113.png,1775528447.13
114,2974,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_114.png,1775528447.32
115,3007,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_115.png,1775528447.53
116,2943,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_116.png,1775528447.73
117,2999,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_117.png,1775528447.93
118,2974,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_118.png,1775528448.13
119,3034,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_119.png,1775528448.33
120,3330,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_120.png,1775528448.53
121,3780,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_121.png,1775528448.73
122,3757,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_122.png,1775528448.93
123,4366,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_123.png,1775528449.13
124,3654,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_124.png,1775528449.33
125,4018,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_125.png,1775528449.53
126,5164,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_126.png,1775528449.73
127,5224,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_127.png,1775528449.93
128,5402,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_128.png,1775528450.13
129,4906,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_129.png,1775528450.33
130,5365,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_130.png,1775528450.53
131,6980,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_131.png,1775528450.73
132,6689,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_132.png,1775528450.93
133,4960,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_133.png,1775528451.14
134,5825,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_134.png,1775528451.33
135,5545,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_135.png,1775528451.52
136,5433,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_136.png,1775528451.73
137,5015,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_137.png,1775528451.93
138,4454,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_138.png,1775528452.13
139,4304,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_139.png,1775528452.33
140,4580,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_140.png,1775528452.53
141,5137,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_141.png,1775528452.73
142,4932,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_142.png,1775528452.93
143,4932,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_143.png,1775528453.13
144,5585,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_144.png,1775528453.33
145,5577,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_145.png,1775528453.53
146,6295,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_146.png,1775528453.73
147,6299,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_147.png,1775528453.94
148,6160,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_148.png,1775528454.14
149,6124,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_149.png,1775528454.34
150,6108,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_150.png,1775528454.54
151,6076,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_151.png,1775528454.74
152,6126,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_152.png,1775528454.93
153,6087,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_153.png,1775528455.14
154,6126,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_154.png,1775528455.33
155,6066,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_155.png,1775528455.54
156,6073,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_156.png,1775528455.73
157,6088,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_157.png,1775528455.94
158,5977,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_158.png,1775528456.14
159,5920,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_159.png,1775528456.33
160,5984,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_160.png,1775528456.53
161,5908,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_161.png,1775528456.74
