ground_truth_m,n_samples,mean_m,std_m,error_m,error_pct,min_reading,max_reading
1.0,50,1.0782,0.0003,0.0782,7.82,1.0775,1.0789
1.0,50,1.0783,0.0004,0.0783,7.83,1.0775,1.0789
1.0,50,1.0783,0.0004,0.0783,7.83,1.0773,1.0789
1.0,50,1.0784,0.0003,0.0784,7.84,1.0776,1.0789
1.0,50,1.0786,0.0003,0.0786,7.86,1.078,1.0789
2.0,50,2.1118,0.0006,0.1118,5.59,2.1102,2.1131
2.0,50,2.1112,0.0007,0.1112,5.56,2.1095,2.1124

