detection,pixels,snapshot,time
295,797,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_295.png,1775528548
305,797,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_305.png,1775528550
359,797,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_359.png,1775528561
373,797,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_373.png,1775528563
381,797,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_381.png,1775528565
331,798,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_331.png,1775528555
341,798,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_341.png,1775528557
345,798,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_345.png,1775528558
349,798,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_349.png,1775528559
358,798,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_358.png,1775528560
361,798,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_361.png,1775528561
306,799,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_306.png,1775528550
335,799,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_335.png,1775528556
347,799,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_347.png,1775528558
350,799,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_350.png,1775528559
264,800,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_264.png,1775528542
266,800,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_266.png,1775528542
271,800,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_271.png,1775528543
332,800,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_332.png,1775528555
353,800,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_353.png,1775528559
363,800,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_363.png,1775528561
369,800,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_369.png,1775528563
303,801,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_303.png,1775528549
320,801,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_320.png,1775528553
323,801,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_323.png,1775528553
383,801,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_383.png,1775528565
268,802,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_268.png,1775528542
275,802,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_275.png,1775528544
297,802,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_297.png,1775528548
314,802,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_314.png,1775528552
334,802,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_334.png,1775528556
375,802,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_375.png,1775528564
385,802,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_385.png,1775528566
279,803,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_279.png,1775528545
284,803,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_284.png,1775528546
296,803,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_296.png,1775528548
352,803,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_352.png,1775528559
293,804,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_293.png,1775528547
302,804,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_302.png,1775528549
309,804,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_309.png,1775528551
324,804,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_324.png,1775528554
329,804,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_329.png,1775528555
338,804,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_338.png,1775528556
270,805,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_270.png,1775528543
281,805,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_281.png,1775528545
308,805,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_308.png,1775528550
319,805,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_319.png,1775528553
340,805,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_340.png,1775528557
354,805,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_354.png,1775528560
356,805,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_356.png,1775528560
294,806,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_294.png,1775528548
339,806,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_339.png,1775528557
355,806,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_355.png,1775528560
374,806,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_374.png,1775528564
277,807,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_277.png,1775528544
326,807,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_326.png,1775528554
327,807,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_327.png,1775528554
343,807,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_343.png,1775528557
272,808,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_272.png,1775528543
317,808,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_317.png,1775528552
316,809,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_316.png,1775528552
321,809,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_321.png,1775528553
328,809,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_328.png,1775528554
269,810,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_269.png,1775528543
337,810,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_337.png,1775528556
287,811,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_287.png,1775528546
282,812,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_282.png,1775528545
288,812,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_288.png,1775528546
292,812,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_292.png,1775528547
283,813,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_283.png,1775528545
286,813,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_286.png,1775528546
322,813,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_322.png,1775528553
290,814,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_290.png,1775528547
299,814,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_299.png,1775528549
301,814,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_301.png,1775528549
318,814,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_318.png,1775528552
