detection,pixels,snapshot,time
62,675,/afs/ec.auckland.ac.nz/users/a/h/ahus071/unixhome/detection_62.png,1776409019.19
63,548,/afs/ec.auckland.ac.nz/users/a/h/ahus071/unixhome/detection_63.png,1776409019.39
64,681,/afs/ec.auckland.ac.nz/users/a/h/ahus071/unixhome/detection_64.png,1776409019.59
65,742,/afs/ec.auckland.ac.nz/users/a/h/ahus071/unixhome/detection_65.png,1776409019.79
66,1041,/afs/ec.auckland.ac.nz/users/a/h/ahus071/unixhome/detection_66.png,1776409019.99
67,1122,/afs/ec.auckland.ac.nz/users/a/h/ahus071/unixhome/detection_67.png,1776409020.19
68,875,/afs/ec.auckland.ac.nz/users/a/h/ahus071/unixhome/detection_68.png,1776409020.39
69,1051,/afs/ec.auckland.ac.nz/users/a/h/ahus071/unixhome/detection_69.png,1776409020.59
70,1054,/afs/ec.auckland.ac.nz/users/a/h/ahus071/unixhome/detection_70.png,1776409020.79
71,1019,/afs/ec.auckland.ac.nz/users/a/h/ahus071/unixhome/detection_71.png,1776409020.99
72,1218,/afs/ec.auckland.ac.nz/users/a/h/ahus071/unixhome/detection_72.png,1776409021.19
73,1074,/afs/ec.auckland.ac.nz/users/a/h/ahus071/unixhome/detection_73.png,1776409021.38
74,1104,/afs/ec.auckland.ac.nz/users/a/h/ahus071/unixhome/detection_74.png,1776409021.59
75,1041,/afs/ec.auckland.ac.nz/users/a/h/ahus071/unixhome/detection_75.png,1776409021.79
76,1147,/afs/ec.auckland.ac.nz/users/a/h/ahus071/unixhome/detection_76.png,1776409021.99
77,1105,/afs/ec.auckland.ac.nz/users/a/h/ahus071/unixhome/detection_77.png,1776409022.19
78,1155,/afs/ec.auckland.ac.nz/users/a/h/ahus071/unixhome/detection_78.png,1776409022.39
79,1261,/afs/ec.auckland.ac.nz/users/a/h/ahus071/unixhome/detection_79.png,1776409022.59
80,1199,/afs/ec.auckland.ac.nz/users/a/h/ahus071/unixhome/detection_80.png,1776409022.78
81,1059,/afs/ec.auckland.ac.nz/users/a/h/ahus071/unixhome/detection_81.png,1776409022.99
82,1018,/afs/ec.auckland.ac.nz/users/a/h/ahus071/unixhome/detection_82.png,1776409023.26
83,1118,/afs/ec.auckland.ac.nz/users/a/h/ahus071/unixhome/detection_83.png,1776409023.38
84,1160,/afs/ec.auckland.ac.nz/users/a/h/ahus071/unixhome/detection_84.png,1776409023.58
85,1013,/afs/ec.auckland.ac.nz/users/a/h/ahus071/unixhome/detection_85.png,1776409023.8
86,1015,/afs/ec.auckland.ac.nz/users/a/h/ahus071/unixhome/detection_86.png,1776409023.99
87,1268,/afs/ec.auckland.ac.nz/users/a/h/ahus071/unixhome/detection_87.png,1776409024.19
1,1157,/afs/ec.auckland.ac.nz/users/a/h/ahus071/unixhome/detection_1.png,1776409063.67
2,1103,/afs/ec.auckland.ac.nz/users/a/h/ahus071/unixhome/detection_2.png,1776409063.78
3,1004,/afs/ec.auckland.ac.nz/users/a/h/ahus071/unixhome/detection_3.png,1776409063.83
4,1085,/afs/ec.auckland.ac.nz/users/a/h/ahus071/unixhome/detection_4.png,1776409063.88
5,1113,/afs/ec.auckland.ac.nz/users/a/h/ahus071/unixhome/detection_5.png,1776409063.92
6,1155,/afs/ec.auckland.ac.nz/users/a/h/ahus071/unixhome/detection_6.png,1776409063.98
7,1107,/afs/ec.auckland.ac.nz/users/a/h/ahus071/unixhome/detection_7.png,1776409064.19
8,1165,/afs/ec.auckland.ac.nz/users/a/h/ahus071/unixhome/detection_8.png,1776409064.39
9,1062,/afs/ec.auckland.ac.nz/users/a/h/ahus071/unixhome/detection_9.png,1776409064.59
10,1068,/afs/ec.auckland.ac.nz/users/a/h/ahus071/unixhome/detection_10.png,1776409064.79
11,1103,/afs/ec.auckland.ac.nz/users/a/h/ahus071/unixhome/detection_11.png,1776409064.99
12,1169,/afs/ec.auckland.ac.nz/users/a/h/ahus071/unixhome/detection_12.png,1776409065.19
13,1075,/afs/ec.auckland.ac.nz/users/a/h/ahus071/unixhome/detection_13.png,1776409065.39
14,1090,/afs/ec.auckland.ac.nz/users/a/h/ahus071/unixhome/detection_14.png,1776409065.59
1,737,/afs/ec.auckland.ac.nz/users/a/h/ahus071/unixhome/detection_1.png,1776409084.19
2,751,/afs/ec.auckland.ac.nz/users/a/h/ahus071/unixhome/detection_2.png,1776409084.39
3,736,/afs/ec.auckland.ac.nz/users/a/h/ahus071/unixhome/detection_3.png,1776409084.59
4,802,/afs/ec.auckland.ac.nz/users/a/h/ahus071/unixhome/detection_4.png,1776409084.79
5,715,/afs/ec.auckland.ac.nz/users/a/h/ahus071/unixhome/detection_5.png,1776409084.99
6,884,/afs/ec.auckland.ac.nz/users/a/h/ahus071/unixhome/detection_6.png,1776409085.19
7,736,/afs/ec.auckland.ac.nz/users/a/h/ahus071/unixhome/detection_7.png,1776409085.38
8,704,/afs/ec.auckland.ac.nz/users/a/h/ahus071/unixhome/detection_8.png,1776409085.59
9,768,/afs/ec.auckland.ac.nz/users/a/h/ahus071/unixhome/detection_9.png,1776409085.79
10,839,/afs/ec.auckland.ac.nz/users/a/h/ahus071/unixhome/detection_10.png,1776409085.99
1,1118,/afs/ec.auckland.ac.nz/users/a/h/ahus071/unixhome/detection_1.png,1776409188.61
2,1093,/afs/ec.auckland.ac.nz/users/a/h/ahus071/unixhome/detection_2.png,1776409188.78
3,1064,/afs/ec.auckland.ac.nz/users/a/h/ahus071/unixhome/detection_3.png,1776409188.99
4,1010,/afs/ec.auckland.ac.nz/users/a/h/ahus071/unixhome/detection_4.png,1776409189.19
5,1172,/afs/ec.auckland.ac.nz/users/a/h/ahus071/unixhome/detection_5.png,1776409189.39
6,996,/afs/ec.auckland.ac.nz/users/a/h/ahus071/unixhome/detection_6.png,1776409189.57
7,1069,/afs/ec.auckland.ac.nz/users/a/h/ahus071/unixhome/detection_7.png,1776409189.79
8,998,/afs/ec.auckland.ac.nz/users/a/h/ahus071/unixhome/detection_8.png,1776409189.99
9,1223,/afs/ec.auckland.ac.nz/users/a/h/ahus071/unixhome/detection_9.png,1776409190.19
1,627,/afs/ec.auckland.ac.nz/users/a/h/ahus071/unixhome/detection_1.png,1776409208.07
2,504,/afs/ec.auckland.ac.nz/users/a/h/ahus071/unixhome/detection_2.png,1776409208.19
3,543,/afs/ec.auckland.ac.nz/users/a/h/ahus071/unixhome/detection_3.png,1776409208.39
4,550,/afs/ec.auckland.ac.nz/users/a/h/ahus071/unixhome/detection_4.png,1776409208.59
5,595,/afs/ec.auckland.ac.nz/users/a/h/ahus071/unixhome/detection_5.png,1776409208.79
6,615,/afs/ec.auckland.ac.nz/users/a/h/ahus071/unixhome/detection_6.png,1776409208.99
7,612,/afs/ec.auckland.ac.nz/users/a/h/ahus071/unixhome/detection_7.png,1776409209.19
8,543,/afs/ec.auckland.ac.nz/users/a/h/ahus071/unixhome/detection_8.png,1776409209.39
